Date,Time,City,Temperature_C,Humidity_%,Wind_Speed_kmph,Weather_Condition,Precipitation_mm,Air_Quality_Index,UV_Index,Is_Weekend,Remarks
2024-01-01,08:00,New York,5.0,80,10,Cloudy,2.5,45,2,False,Cold
2024-01-02,12:00,Los Angeles,12.0,65,15,Sunny,0.0,30,5,False,Warm
2024-01-03,16:00,Chicago,8.0,70,20,Rainy,10.0,60,3,False,Wet
2024-01-04,20:00,Houston,,55,5,Clear,0.0,25,7,True,Clear Night
2024-01-05,23:00,Phoenix,20.0,40,12,Sunny,0.5,70,6,True,Hot
2024-01-06,08:00,New York,15.0,60,14,Cloudy,1.2,50,4,False,Cold
2024-01-07,12:00,Los Angeles,18.0,75,11,Sunny,0.0,40,3,False,Warm
2024-01-08,16:00,Chicago,22.0,50,9,Rainy,5.0,65,5,False,Wet
2024-01-09,20:00,Houston,,45,8,Clear,0.0,55,2,True,Clear Night
2024-01-10,23:00,Phoenix,30.0,35,7,Sunny,3.0,20,6,True,Hot
2024-01-01,08:00,New York,5.0,80,10,Cloudy,2.5,45,2,False,Cold
2024-01-02,12:00,Los Angeles,12.0,65,15,Sunny,0.0,30,5,False,Warm
2024-01-03,16:00,Chicago,8.0,70,20,Rainy,10.0,60,3,False,Wet
2024-01-04,20:00,Houston,,55,5,Clear,0.0,25,7,True,Clear Night
2024-01-05,23:00,Phoenix,20.0,40,12,Sunny,0.5,70,6,True,Hot
2024-01-06,08:00,New York,15.0,60,14,Cloudy,1.2,50,4,False,Cold
2024-01-07,12:00,Los Angeles,18.0,75,11,Sunny,0.0,40,3,False,Warm
2024-01-08,16:00,Chicago,22.0,50,9,Rainy,5.0,65,5,False,Wet
2024-01-03,16:00,Chicago,8.0,70,20,Rainy,10.0,60,3,False,Wet
2024-01-08,16:00,Chicago,22.0,50,9,Rainy,5.0,65,5,False,Wet
